# x	y	u	v	flags	mask
2.5901e-01	1.0920e+01	9.4021e-01	-1.1835e+00	1.0000e+00	0.0000e+00
4.7659e-01	1.0920e+01	7.2818e-01	-1.1699e+00	1.0000e+00	0.0000e+00
6.9416e-01	1.0920e+01	5.8117e-01	-1.0056e+00	1.0000e+00	0.0000e+00
9.1173e-01	1.0920e+01	4.3350e-01	-9.6845e-01	1.0000e+00	0.0000e+00
1.1293e+00	1.0920e+01	3.1304e-01	-8.1762e-01	1.0000e+00	0.0000e+00
1.3469e+00	1.0920e+01	2.8564e-01	-3.7458e-01	1.0000e+00	0.0000e+00
1.5644e+00	1.0920e+01	1.9430e-01	-3.0825e-01	1.0000e+00	0.0000e+00
1.7820e+00	1.0920e+01	1.0736e-01	-2.2555e-01	1.0000e+00	0.0000e+00
1.9996e+00	1.0920e+01	7.9046e-03	-2.1063e-01	1.0000e+00	0.0000e+00
2.2172e+00	1.0920e+01	-1.4387e-01	-3.8879e-01	1.0000e+00	0.0000e+00
2.4347e+00	1.0920e+01	-2.8430e-01	-4.9125e-01	1.0000e+00	0.0000e+00
2.6523e+00	1.0920e+01	-5.6186e-01	-6.9826e-01	1.0000e+00	0.0000e+00
2.8699e+00	1.0920e+01	-8.4107e-01	-1.0343e+00	1.0000e+00	0.0000e+00
3.0874e+00	1.0920e+01	-1.0724e+00	-1.1136e+00	1.0000e+00	0.0000e+00
3.3050e+00	1.0920e+01	-1.2072e+00	-1.2114e+00	1.0000e+00	0.0000e+00
3.5226e+00	1.0920e+01	1.4505e+00	1.4923e+00	0.0000e+00	0.0000e+00
3.7402e+00	1.0920e+01	-1.3583e+00	-1.1157e+00	1.0000e+00	0.0000e+00
3.9577e+00	1.0920e+01	-1.3764e+00	-1.1120e+00	1.0000e+00	0.0000e+00
4.1753e+00	1.0920e+01	-1.3868e+00	-1.1053e+00	1.0000e+00	0.0000e+00
4.3929e+00	1.0920e+01	-1.4962e+00	-1.2364e+00	1.0000e+00	0.0000e+00
