# x	y	u	v	flags	mask
2.5901e-01	6.7551e+00	-5.0351e-02	-9.4925e-03	1.0000e+00	0.0000e+00
4.7659e-01	6.7551e+00	-3.5029e-02	1.4908e-02	0.0000e+00	0.0000e+00
6.9416e-01	6.7551e+00	-3.9540e-02	2.7641e-02	0.0000e+00	0.0000e+00
9.1173e-01	6.7551e+00	-1.4299e-02	1.2972e-02	0.0000e+00	0.0000e+00
1.1293e+00	6.7551e+00	-5.6427e-02	8.5630e-03	0.0000e+00	0.0000e+00
1.3469e+00	6.7551e+00	-1.1131e-01	-5.6616e-03	0.0000e+00	0.0000e+00
1.5644e+00	6.7551e+00	-4.6388e+00	5.1537e+00	0.0000e+00	0.0000e+00
1.7820e+00	6.7551e+00	-1.5896e-01	2.6610e-02	0.0000e+00	0.0000e+00
1.9996e+00	6.7551e+00	-1.5754e-01	1.3399e-02	0.0000e+00	0.0000e+00
2.2172e+00	6.7551e+00	-1.6997e-01	3.9624e-02	0.0000e+00	0.0000e+00
2.4347e+00	6.7551e+00	-1.5218e-01	2.0795e-02	0.0000e+00	0.0000e+00
2.6523e+00	6.7551e+00	-1.1028e-01	-2.5980e-02	0.0000e+00	0.0000e+00
2.8699e+00	6.7551e+00	-1.0868e-01	-2.2796e-02	0.0000e+00	0.0000e+00
3.0874e+00	6.7551e+00	-1.1921e-01	-9.4785e-04	0.0000e+00	0.0000e+00
3.3050e+00	6.7551e+00	-7.9407e-02	5.4071e-03	0.0000e+00	0.0000e+00
3.5226e+00	6.7551e+00	-6.6324e-02	6.4601e-02	0.0000e+00	0.0000e+00
3.7402e+00	6.7551e+00	-5.2202e-02	8.2012e-02	0.0000e+00	0.0000e+00
3.9577e+00	6.7551e+00	-8.4711e-02	4.5292e-02	0.0000e+00	0.0000e+00
4.1753e+00	6.7551e+00	-4.4689e-02	7.0230e-02	0.0000e+00	0.0000e+00
4.3929e+00	6.7551e+00	-7.5848e-02	1.4208e-01	0.0000e+00	0.0000e+00
4.6104e+00	6.7551e+00	-1.3173e-01	1.2390e-01	0.0000e+00	0.0000e+00
4.8280e+00	6.7551e+00	-2.5955e-01	3.3073e-02	0.0000e+00	0.0000e+00
5.0456e+00	6.7551e+00	-3.9098e-01	-1.5242e-01	0.0000e+00	0.0000e+00
5.2632e+00	6.7551e+00	-4.9020e-01	-6.5571e-01	0.0000e+00	0.0000e+00
5.4807e+00	6.7551e+00	-6.2077e-01	-2.2309e+00	0.0000e+00	0.0000e+00
5.6983e+00	6.7551e+00	-5.6179e-01	-3.4217e+00	0.0000e+00	0.0000e+00
5.9159e+00	6.7551e+00	-6.0655e-01	-3.2504e+00	0.0000e+00	0.0000e+00
2.5901e-01	6.5375e+00	2.0856e-02	-7.1404e-03	0.0000e+00	0.0000e+00
4.7659e-01	6.5375e+00	-3.2973e-02	-1.7073e-02	0.0000e+00	0.0000e+00
6.9416e-01	6.5375e+00	-9.6853e-02	-2.7864e-03	0.0000e+00	0.0000e+00
9.1173e-01	6.5375e+00	-7.0835e-02	3.0411e-03	0.0000e+00	0.0000e+00
1.1293e+00	6.5375e+00	-1.0808e-01	-4.7425e-03	0.0000e+00	0.0000e+00
1.3469e+00	6.5375e+00	-1.1599e-01	-3.4642e-02	0.0000e+00	0.0000e+00
1.5644e+00	6.5375e+00	-2.9155e-01	1.7698e-01	1.0000e+00	0.0000e+00
1.7820e+00	6.5375e+00	-3.4256e-01	1.7452e-01	1.0000e+00	0.0000e+00
1.9996e+00	6.5375e+00	-1.7194e-01	4.9400e-02	0.0000e+00	0.0000e+00
2.2172e+00	6.5375e+00	-1.5195e-01	4.4182e-02	0.0000e+00	0.0000e+00
2.4347e+00	6.5375e+00	-1.7974e-01	3.2111e-02	0.0000e+00	0.0000e+00
2.6523e+00	6.5375e+00	-1.2926e-01	7.9042e-03	0.0000e+00	0.0000e+00
2.8699e+00	6.5375e+00	-1.3443e-01	-1.2247e-02	0.0000e+00	0.0000e+00
3.0874e+00	6.5375e+00	-1.3794e-01	2.3916e-02	0.0000e+00	0.0000e+00
3.3050e+00	6.5375e+00	-1.1378e-01	1.0784e-02	0.0000e+00	0.0000e+00
3.5226e+00	6.5375e+00	-9.0056e-02	3.7330e-02	0.0000e+00	0.0000e+00
3.7402e+00	6.5375e+00	-9.1457e-02	6.5782e-02	0.0000e+00	0.0000e+00
3.9577e+00	6.5375e+00	-8.1039e-02	8.7191e-02	0.0000e+00	0.0000e+00
4.1753e+00	6.5375e+00	-7.1362e-02	7.9534e-02	0.0000e+00	0.0000e+00
4.3929e+00	6.5375e+00	-1.8253e-01	1.4043e-01	0.0000e+00	0.0000e+00
4.6104e+00	6.5375e+00	-9.5238e-02	2.3296e-02	0.0000e+00	0.0000e+00
4.8280e+00	6.5375e+00	-9.6480e-02	1.0146e-02	0.0000e+00	0.0000e+00
5.0456e+00	6.5375e+00	-8.8098e-01	-8.6356e-01	1.0000e+00	0.0000e+00
5.2632e+00	6.5375e+00	-6.2771e-01	-9.6027e-01	0.0000e+00	0.0000e+00
5.4807e+00	6.5375e+00	1.4520e+00	-1.7076e+00	0.0000e+00	0.0000e+00
5.6983e+00	6.5375e+00	-1.1078e+00	-3.0839e+00	0.0000e+00	0.0000e+00
5.9159e+00	6.5375e+00	-4.8067e-01	-2.7621e+00	0.0000e+00	0.0000e+00
2.5901e-01	6.3199e+00	-4.5444e-03	-4.1530e-02	0.0000e+00	0.0000e+00
4.7659e-01	6.3199e+00	-6.6009e-02	-7.0850e-02	0.0000e+00	0.0000e+00
6.9416e-01	6.3199e+00	-8.7202e-02	1.3895e-02	0.0000e+00	0.0000e+00
9.1173e-01	6.3199e+00	-1.0130e-01	1.8178e-02	0.0000e+00	0.0000e+00
1.1293e+00	6.3199e+00	-1.0067e-01	1.2759e-02	0.0000e+00	0.0000e+00
1.3469e+00	6.3199e+00	-3.1372e-01	1.2554e-01	1.0000e+00	0.0000e+00
1.5644e+00	6.3199e+00	-1.7984e-01	3.9365e-03	0.0000e+00	0.0000e+00
1.7820e+00	6.3199e+00	-1.9183e-01	-1.6726e-03	0.0000e+00	0.0000e+00
1.9996e+00	6.3199e+00	-2.3001e-01	5.4672e-02	0.0000e+00	0.0000e+00
2.2172e+00	6.3199e+00	-2.0301e-01	7.0843e-02	0.0000e+00	0.0000e+00
2.4347e+00	6.3199e+00	-2.0171e-01	6.2023e-02	0.0000e+00	0.0000e+00
2.6523e+00	6.3199e+00	-1.5953e-01	-4.2471e-03	0.0000e+00	0.0000e+00
2.8699e+00	6.3199e+00	-1.2210e-01	-1.0617e-02	0.0000e+00	0.0000e+00
3.0874e+00	6.3199e+00	-1.0133e-01	-2.1800e-03	0.0000e+00	0.0000e+00
3.3050e+00	6.3199e+00	-5.9031e-02	2.8881e-02	0.0000e+00	0.0000e+00
3.5226e+00	6.3199e+00	-7.7958e-02	4.3522e-02	0.0000e+00	0.0000e+00
3.7402e+00	6.3199e+00	-9.9072e-02	5.4774e-02	0.0000e+00	0.0000e+00
3.9577e+00	6.3199e+00	-1.8336e-01	7.2877e-02	0.0000e+00	0.0000e+00
4.1753e+00	6.3199e+00	-1.7650e-01	9.0299e-02	0.0000e+00	0.0000e+00
4.3929e+00	6.3199e+00	-1.6492e-01	1.7343e-01	0.0000e+00	0.0000e+00
4.6104e+00	6.3199e+00	-1.0229e-01	1.0352e-01	0.0000e+00	0.0000e+00
4.8280e+00	6.3199e+00	-1.0505e-01	1.1216e-01	0.0000e+00	0.0000e+00
5.0456e+00	6.3199e+00	3.1623e+00	1.5753e-01	0.0000e+00	0.0000e+00
5.2632e+00	6.3199e+00	-9.4537e+00	8.2925e+00	0.0000e+00	0.0000e+00
5.4807e+00	6.3199e+00	-1.1869e+00	-1.4150e+00	1.0000e+00	0.0000e+00
5.6983e+00	6.3199e+00	-1.6283e+00	-2.6708e+00	0.0000e+00	0.0000e+00
5.9159e+00	6.3199e+00	-6.3124e-01	-2.1741e+00	0.0000e+00	0.0000e+00
2.5901e-01	6.1024e+00	-1.9321e-02	-6.2573e-02	0.0000e+00	0.0000e+00
4.7659e-01	6.1024e+00	-3.3538e-02	-3.7514e-02	0.0000e+00	0.0000e+00
6.9416e-01	6.1024e+00	-5.4932e-02	-3.5042e-03	0.0000e+00	0.0000e+00
9.1173e-01	6.1024e+00	-1.1974e-01	9.9486e-03	0.0000e+00	0.0000e+00
1.1293e+00	6.1024e+00	-1.3445e-01	1.9560e-02	0.0000e+00	0.0000e+00
1.3469e+00	6.1024e+00	-9.3763e-02	2.1044e-02	0.0000e+00	0.0000e+00
1.5644e+00	6.1024e+00	-1.4503e-01	3.6652e-02	0.0000e+00	0.0000e+00
1.7820e+00	6.1024e+00	-2.2674e-01	-2.0498e-02	0.0000e+00	0.0000e+00
1.9996e+00	6.1024e+00	-2.2723e-01	3.8940e-02	0.0000e+00	0.0000e+00
2.2172e+00	6.1024e+00	-2.3884e-01	1.8607e-02	0.0000e+00	0.0000e+00
2.4347e+00	6.1024e+00	-1.8690e-01	1.0308e-03	0.0000e+00	0.0000e+00
2.6523e+00	6.1024e+00	-1.0646e-01	-4.5738e-03	0.0000e+00	0.0000e+00
