# x	y	u	v	flags	mask
2.1757e-01	2.6419e+00	2.5829e+00	-9.3010e-03	0.0000e+00	0.0000e+00
4.3514e-01	2.6419e+00	2.5738e+00	-6.6430e-03	0.0000e+00	0.0000e+00
6.5271e-01	2.6419e+00	2.5876e+00	-1.0288e-02	0.0000e+00	0.0000e+00
8.7029e-01	2.6419e+00	2.5635e+00	-3.2185e-02	0.0000e+00	0.0000e+00
1.0879e+00	2.6419e+00	2.5808e+00	-1.2221e-02	0.0000e+00	0.0000e+00
1.3054e+00	2.6419e+00	2.5672e+00	-4.0118e-03	0.0000e+00	0.0000e+00
1.5230e+00	2.6419e+00	2.5914e+00	-1.4472e-02	0.0000e+00	0.0000e+00
1.7406e+00	2.6419e+00	2.5681e+00	6.2664e-03	0.0000e+00	0.0000e+00
1.9581e+00	2.6419e+00	2.5732e+00	-6.5585e-03	0.0000e+00	0.0000e+00
2.1757e+00	2.6419e+00	2.5879e+00	-8.7872e-03	0.0000e+00	0.0000e+00
2.3933e+00	2.6419e+00	2.5671e+00	3.8718e-03	0.0000e+00	0.0000e+00
2.6109e+00	2.6419e+00	2.5813e+00	2.2804e-02	0.0000e+00	0.0000e+00
2.8284e+00	2.6419e+00	2.5876e+00	2.2514e-03	0.0000e+00	0.0000e+00
3.0460e+00	2.6419e+00	2.5922e+00	3.4928e-03	0.0000e+00	0.0000e+00
3.2636e+00	2.6419e+00	2.6012e+00	-1.2115e-02	0.0000e+00	0.0000e+00
3.4811e+00	2.6419e+00	2.5858e+00	-1.6312e-02	0.0000e+00	0.0000e+00
2.1757e-01	2.4244e+00	2.5935e+00	-9.2652e-03	0.0000e+00	0.0000e+00
4.3514e-01	2.4244e+00	2.5902e+00	-2.0141e-02	0.0000e+00	0.0000e+00
6.5271e-01	2.4244e+00	2.5796e+00	-6.5410e-03	0.0000e+00	0.0000e+00
8.7029e-01	2.4244e+00	2.5755e+00	7.4668e-03	0.0000e+00	0.0000e+00
1.0879e+00	2.4244e+00	2.5788e+00	-1.2442e-02	0.0000e+00	0.0000e+00
1.3054e+00	2.4244e+00	2.5705e+00	-3.1498e-02	0.0000e+00	0.0000e+00
1.5230e+00	2.4244e+00	2.5913e+00	4.1647e-03	0.0000e+00	0.0000e+00
1.7406e+00	2.4244e+00	2.5790e+00	-1.5416e-03	0.0000e+00	0.0000e+00
1.9581e+00	2.4244e+00	2.5784e+00	-1.0349e-02	0.0000e+00	0.0000e+00
2.1757e+00	2.4244e+00	2.5906e+00	-1.0931e-02	0.0000e+00	0.0000e+00
2.3933e+00	2.4244e+00	2.5802e+00	-1.5649e-02	0.0000e+00	0.0000e+00
2.6109e+00	2.4244e+00	2.5762e+00	2.2487e-02	0.0000e+00	0.0000e+00
